source_site,brand,model,year,vehicle_age,mileage_km,log_mileage,transmission,fuel_type,engine_cc,location,price_lkr,log_price
ikman,Suzuki,Every,2026.0,0.0,3500.0,8.160803920954665,Other,Other,6600.0,"Hemmathagama, Kegalle",81900000,18.22100956103331
ikman,Suzuki,Celerio,2015.0,11.0,1233020.0,14.024977813631615,Manual,Petrol,9980.0,"Dehiwala, Colombo",49000000,17.707330876483063
ikman,Mitsubishi,Ek Wagon,2025.0,1.0,50000.0,10.819798284210286,Automatic,Petrol,6500.0,"Kohuwala, Colombo",79000000,18.184958423089522
ikman,Suzuki,Spacia,2023.0,3.0,100000.0,11.51293546492023,Automatic,Hybrid,6600.0,"Boralesgamuwa, Colombo",79500000,18.191267592203175
ikman,Nissan,Vanette,1987.0,39.0,1600000.0,14.285514812209815,Other,Other,20000.0,"Kandy City, Kandy",27500000,17.129696599000436
ikman,Suzuki,Every,2017.0,9.0,910000.0,13.721200977393528,Other,Other,6500.0,"Maharagama, Colombo",61750000,17.938604549666692
ikman,Hyundai,Other,2016.0,10.0,765000.0,13.547632419997361,Automatic,Petrol,10000.0,"Talawatugoda, Colombo",55750000,17.83638798624172
ikman,Toyota,Taisor,2026.0,0.0,70.0,4.2626798770413155,Automatic,Petrol,10000.0,"Colombo 7, Colombo",117000000,18.57768450130904
ikman,Daihatsu,Mira,2025.0,1.0,0.0,0.0,Automatic,Petrol,6500.0,Kohuwala,79700000,18.193780156307493
ikman,Suzuki,Celerio,2026.0,0.0,200.0,5.303304908059076,Automatic,Petrol,10000.0,"Dehiwala, Colombo",79750000,18.194407312168412
ikman,Toyota,Chr,2018.0,8.0,901000.0,13.711261646467772,Automatic,Petrol,12000.0,Pannipitiya,126750000,18.657727208325113
ikman,Toyota,Hiace,1980.0,46.0,1950000.0,14.48334044336031,Other,Other,21820.0,"Monaragala City, Monaragala",15000000,16.52356082573315
ikman,Nissan,Caravan,1986.0,40.0,1500000.0,14.220976332738882,Other,Other,26600.0,"Pelmadulla, Ratnapura",28000000,17.147715103853763
ikman,Nissan,X-Trail,2014.0,12.0,1245000.0,14.034646891093473,Automatic,Petrol,20000.0,Boralesgamuwa,107500000,18.493001414834318
ikman,Nissan,Vanette,1986.0,40.0,4000000.0,15.201805169084134,Other,Other,15000.0,"Galle City, Galle",14500000,16.489659276356317
ikman,Honda,Other,2012.0,14.0,1460000.0,14.19394767861579,Automatic,Petrol,20000.0,Nugegoda,89950000,18.314764529478104
ikman,Toyota,Other,1991.0,35.0,1600000.0,14.285514812209815,Manual,Petrol,15000.0,"Kilinochchi City, Kilinochchi",18500000,16.733281344102608
ikman,Toyota,Axio,2009.0,17.0,1600000.0,14.285514812209815,Automatic,Petrol,15000.0,"Colombo 6, Colombo",79750000,18.194407312168412
ikman,Toyota,Townace,1995.0,31.0,1800000.0,14.403297778421795,Other,Other,19700.0,"Kelaniya, Gampaha",51000000,17.747336210296442
ikman,Toyota,Liteace,1989.0,37.0,1600000.0,14.285514812209815,Other,Other,20000.0,"Kandy City, Kandy",29750000,17.208339723569356
ikman,Suzuki,Fronx,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Dehiwala, Colombo",112500000,18.538463788497637
ikman,Toyota,Axio,2017.0,9.0,490000.0,13.102162710901053,Automatic,Hybrid,14960.0,Negombo,145000000,18.7922443072814
ikman,Suzuki,Wagon R Stingray,2023.0,3.0,110000.0,11.608244735642321,Automatic,Hybrid,6500.0,"Dehiwala, Colombo",87500000,18.287149362756413
ikman,Toyota,Raize,2026.0,0.0,0.0,0.0,Automatic,Hybrid,12000.0,"Talawatugoda, Colombo",143500000,18.78184560013259
ikman,Nissan,Clipper,2024.0,2.0,100000.0,11.51293546492023,Other,Other,6600.0,"Colombo 9, Colombo",82000000,18.22222981742365
